# Libros reales que amplían el catálogo hasta 20 por categoría (los usa scripts/add_catalog.py).
# Formato:  categoría | título | autor | título alternativo para buscar la portada (opcional) | descripción
# Solo son reales el título, el autor y la portada (Open Library); precio y stock los inventa el script.

ciencia|La sexta extinción|Elizabeth Kolbert|The Sixth Extinction|Cómo la actividad humana está provocando una extinción masiva de especies comparable a las del pasado.
ciencia|Primavera silenciosa|Rachel Carson|Silent Spring|El libro que alertó sobre el daño de los pesticidas y ayudó a impulsar el movimiento ecologista moderno.
ciencia|Física de lo imposible|Michio Kaku|Physics of the Impossible|Un físico explora qué tecnologías de la ciencia ficción podrían ser posibles: teletransporte, viajes en el tiempo, invisibilidad.
ciencia|La estructura de las revoluciones científicas|Thomas S. Kuhn|The Structure of Scientific Revolutions|Cómo avanza realmente la ciencia: por cambios de paradigma y no solo por acumulación de datos.
ciencia|Pálido punto azul|Carl Sagan|Pale Blue Dot|Una reflexión sobre el lugar de la humanidad en el cosmos y su futuro en el espacio.
ciencia|Incógnito|David Eagleman|Incognito|Cómo la mayor parte de lo que hace el cerebro ocurre fuera de nuestra conciencia.
infantil|El principito|Antoine de Saint-Exupéry|Le Petit Prince|Un piloto perdido en el desierto conoce a un pequeño príncipe que le cuenta sus viajes por distintos planetas.
infantil|Matilda|Roald Dahl||Una niña superdotada se enfrenta a unos padres indiferentes y a una directora tiránica con la ayuda de su ingenio.
infantil|Charlie y la fábrica de chocolate|Roald Dahl|Charlie and the Chocolate Factory|Charlie gana una visita a la fábrica de Willy Wonka, llena de sorpresas y castigos para los niños malcriados.
infantil|Peter Pan|J. M. Barrie||Peter Pan lleva a los hermanos Darling al País de Nunca Jamás, donde los niños nunca crecen y los piratas acechan.
infantil|Pinocho|Carlo Collodi|The Adventures of Pinocchio|Un muñeco de madera cobra vida y aprende, tras muchas travesuras, a ser un niño de verdad.
infantil|Heidi|Johanna Spyri||Una niña huérfana vive con su abuelo en los Alpes suizos y descubre el poder de la naturaleza y la amistad.
infantil|El jardín secreto|Frances Hodgson Burnett|The Secret Garden|Mary, una niña huérfana, descubre un jardín abandonado que cambia su vida y la de quienes la rodean.
infantil|Ana de las Tejas Verdes|L. M. Montgomery|Anne of Green Gables|Una niña huérfana de imaginación desbordante llega por error a una granja de Canadá y conquista a todos.
infantil|Mujercitas|Louisa May Alcott|Little Women|Las cuatro hermanas March crecen en Nueva Inglaterra durante la Guerra Civil estadounidense.
infantil|Donde viven los monstruos|Maurice Sendak|Where the Wild Things Are|Max, castigado en su habitación, viaja a una isla donde los monstruos lo coronan rey.
infantil|La oruga muy hambrienta|Eric Carle|The Very Hungry Caterpillar|Una oruga come cada día más y más comida hasta convertirse en una hermosa mariposa.
infantil|El Grúfalo|Julia Donaldson|The Gruffalo|Un pequeño ratón se inventa un monstruo imaginario, el Grúfalo, para librarse de los depredadores del bosque.
infantil|Elmer|David McKee||Elmer es un elefante de colores que decide ser como los demás, hasta que descubre el valor de ser diferente.
infantil|Manolito Gafotas|Elvira Lindo||Las divertidas aventuras de un niño madrileño con gafas, su familia y su barrio de Carabanchel.
infantil|Las aventuras de Tom Sawyer|Mark Twain|The Adventures of Tom Sawyer|Las travesuras de un niño a orillas del río Misisipi: piratas, cuevas, tesoros y un testigo de un crimen.
infantil|Momo|Michael Ende||Una niña sabe escuchar como nadie y se enfrenta a los hombres grises que roban el tiempo de la gente.
infantil|Pippi Calzaslargas|Astrid Lindgren|Pippi Longstocking|Pippi es una niña fuerte, libre y traviesa que vive sola con un mono y un caballo, y revoluciona su tranquilo pueblo.
infantil|Diario de Greg|Jeff Kinney|Diary of a Wimpy Kid|Greg Heffley cuenta con humor sus dramas en el primer año de secundaria, con dibujos y notas.
infantil|El libro de la selva|Rudyard Kipling|The Jungle Book|Mowgli, un niño criado por lobos, aprende las leyes de la selva con la ayuda de Baloo y Bagheera.
infantil|Winnie the Pooh|A. A. Milne||Las aventuras de un osito de peluche y sus amigos en el Bosque de los Cien Acres.
cocina|Sal, grasa, ácido, calor|Samin Nosrat|Salt, Fat, Acid, Heat|Los cuatro elementos que definen el buen cocinar, explicados con ilustraciones y recetas para todos los niveles.
cocina|Dominando el arte de la cocina francesa|Julia Child|Mastering the Art of French Cooking|El libro de cocina francesa que introdujo esta tradición al público estadounidense, paso a paso.
cocina|Confesiones de un chef|Anthony Bourdain|Kitchen Confidential|Las memorias del chef sobre el mundo real, duro y a veces salvaje de las cocinas profesionales.
cocina|Cocinar: una historia natural de la transformación|Michael Pollan|Cooked|Pollan explora cuatro formas de transformar alimentos (fuego, agua, aire y tierra) y lo que revelan de la cocina.
cocina|Jerusalén|Yotam Ottolenghi y Sami Tamimi|Jerusalem|Recetas de una de las ciudades más diversas del mundo, con historias y fotografías de sus barrios.
cocina|Simple|Yotam Ottolenghi||Recetas de Ottolenghi pensadas para ser rápidas, sencillas y con pocos ingredientes.
cocina|Siete fuegos|Francis Mallmann|Seven Fires|El cocinero argentino explica sus siete formas de cocinar con fuego: parrilla, chapa, horno de barro y más.
cocina|Larousse Gastronomique|Prosper Montagné||La gran enciclopedia de la gastronomía: técnicas, ingredientes, historia y recetas de todo el mundo.
cocina|La cocina y los alimentos|Harold McGee|On Food and Cooking|Una enciclopedia de la ciencia que hay detrás de los alimentos y las técnicas culinarias.
cocina|Cómo cocinar todo|Mark Bittman|How to Cook Everything|Un manual básico con miles de recetas y técnicas para aprender a cocinar desde cero.
cocina|El laboratorio de la comida|J. Kenji López-Alt|The Food Lab|La ciencia detrás de la buena cocina explicada a través de experimentos y recetas probadas.
cocina|Los fundamentos de la cocina clásica italiana|Marcella Hazan|Essentials of Classic Italian Cooking|Un clásico de la cocina italiana con salsas, pastas, risottos y carnes explicados con rigor.
cocina|Tartine Bread|Chad Robertson||La técnica y las recetas de la famosa panadería de San Francisco para hacer pan de masa madre en casa.
cocina|Plenty|Yotam Ottolenghi||Recetas vegetarianas llenas de sabor, color y especias de uno de los chefs más influyentes de hoy.
cocina|Flavour|Yotam Ottolenghi y Ixta Belfrage||Recetas basadas en el sabor y en técnicas para intensificarlo, con un enfoque vegetal.
cocina|Cómo ser una diosa doméstica|Nigella Lawson|How to Be a Domestic Goddess|Un libro de repostería y cocina casera con recetas tentadoras y un tono cercano y divertido.
cocina|Comida en 15 minutos|Jamie Oliver|15-Minute Meals|Recetas rápidas y saludables para cocinar en un cuarto de hora.
cocina|Ceviche|Martin Morales||Cocina peruana explicada por un chef en Londres: ceviches, tiraditos, causas y pisco.
cocina|La cuchara de plata|Varios autores|The Silver Spoon|La gran obra de la cocina italiana, con miles de recetas caseras tradicionales.
tecnologia|Código limpio|Robert C. Martin|Clean Code|Un manual de buenas prácticas para escribir código legible y mantenible.
tecnologia|El programador pragmático|Andrew Hunt y David Thomas|The Pragmatic Programmer|Consejos prácticos para mejorar como programador, desde el diseño hasta las herramientas y el oficio.
tecnologia|Designing Data-Intensive Applications|Martin Kleppmann||Los principios que hay detrás de bases de datos, sistemas distribuidos y procesamiento de datos.
tecnologia|Patrones de diseño|Erich Gamma, Richard Helm, Ralph Johnson y John Vlissides|Design Patterns: Elements of Reusable Object-Oriented Software|El catálogo clásico de 23 patrones de diseño orientado a objetos.
tecnologia|Refactoring|Martin Fowler||Cómo mejorar el diseño del código existente mediante pequeños pasos que no alteran su comportamiento.
tecnologia|Arquitectura limpia|Robert C. Martin|Clean Architecture|Principios de arquitectura de software para crear sistemas fáciles de mantener y de evolucionar.
tecnologia|Introduction to Algorithms|Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest y Clifford Stein||El manual de referencia sobre algoritmos y estructuras de datos, muy usado en universidades.
tecnologia|Structure and Interpretation of Computer Programs|Harold Abelson y Gerald Jay Sussman||Un libro fundamental de la informática, que enseña a pensar los programas a través de abstracciones.
tecnologia|Deep Learning|Ian Goodfellow, Yoshua Bengio y Aaron Courville||Un libro de referencia sobre redes neuronales profundas y aprendizaje automático.
tecnologia|Superinteligencia|Nick Bostrom|Superintelligence|Un análisis de los riesgos y desafíos de una inteligencia artificial que supere a la humana.
tecnologia|Vida 3.0|Max Tegmark|Life 3.0|Un físico reflexiona sobre cómo puede cambiar la vida y la sociedad con la inteligencia artificial.
tecnologia|De cero a uno|Peter Thiel|Zero to One|Ideas de un inversor sobre cómo crear empresas que innoven de verdad y construyan el futuro.
tecnologia|Los innovadores|Walter Isaacson|The Innovators|La historia de la revolución digital a través de las personas que la hicieron posible.
tecnologia|Eloquent JavaScript|Marijn Haverbeke||Una introducción moderna a JavaScript y a la programación con ejemplos y ejercicios.
tecnologia|Domain-Driven Design|Eric Evans||Cómo modelar software complejo a partir del dominio del negocio y un lenguaje común.
tecnologia|El proyecto Fénix|Gene Kim, Kevin Behr y George Spafford|The Phoenix Project|Una novela sobre un directivo de TI que salva un proyecto en crisis con ideas de DevOps.
tecnologia|Curso intensivo de Python|Eric Matthes|Python Crash Course|Una introducción práctica a Python con proyectos reales: juegos, visualización de datos y aplicaciones web.
clasicos|La metamorfosis|Franz Kafka|The Metamorphosis|Gregor Samsa amanece convertido en un insecto monstruoso y su familia debe afrontar la situación.
novela|El túnel|Ernesto Sabato|The Tunnel|El pintor Juan Pablo Castel confiesa el crimen que cometió por amor y obsesión, en una novela breve e inquietante.
biografias|Diarios de motocicleta|Ernesto Guevara|The Motorcycle Diaries|El viaje en moto de un joven Che Guevara y su amigo Alberto Granado por Sudamérica en 1952.
biografias|Madame Curie|Ève Curie|Madame Curie: A Biography|La vida de la científica Marie Curie, contada por su hija: pasión por la ciencia, dos premios Nobel y años de dificultades.
biografias|Alexander Hamilton|Ron Chernow||La vida del inmigrante huérfano que se convirtió en uno de los padres fundadores de Estados Unidos.
historia|Homo Deus|Yuval Noah Harari||Un ensayo sobre el futuro de la humanidad en la era de la biotecnología y la inteligencia artificial.
historia|La Revolución rusa|Sheila Fitzpatrick|The Russian Revolution|Una introducción a los sucesos de 1917 y a la sociedad soviética que surgió de ellos.
desarrollo-personal|Céntrate|Cal Newport|Deep Work|Cómo trabajar con concentración profunda en un mundo lleno de distracciones y obtener resultados de más valor.
ciencia-ficcion|Snow Crash|Neal Stephenson||Un repartidor de pizza y hacker se ve envuelto en una conspiración entre el mundo virtual del metaverso y el real.
misterio|Las aventuras de Sherlock Holmes|Arthur Conan Doyle|The Adventures of Sherlock Holmes|Doce casos del detective más famoso de la literatura, narrados por su amigo el doctor Watson.
misterio|Pequeñas mentiras perfectas|Liane Moriarty|Big Little Lies|Tres madres de un barrio tranquilo ocultan secretos que estallan en una noche de gala escolar que acaba en tragedia.
romance|After: aquí empieza todo|Anna Todd|After|Tessa, una estudiante ejemplar, se enamora del rebelde Hardin en su primer año de universidad.
ciencia|El mono desnudo|Desmond Morris|The Naked Ape|Un zoólogo observa al ser humano como una especie más y analiza su comportamiento, sus instintos y su sexualidad.
ciencia|El relojero ciego|Richard Dawkins|The Blind Watchmaker|Cómo la selección natural, sin diseño ni propósito, puede explicar la complejidad de los seres vivos.
cocina|Perú: el libro de cocina|Gastón Acurio|Peru: The Cookbook|Cientos de recetas peruanas, del ceviche a la cocina criolla, andina y de fusión, del chef más conocido del país.
tecnologia|Cracking the Coding Interview|Gayle Laakmann McDowell||Preguntas, soluciones y estrategias para superar entrevistas técnicas de programación en las grandes empresas.
tecnologia|Accelerate|Nicole Forsgren, Jez Humble y Gene Kim||Los datos que muestran qué prácticas de desarrollo y entrega hacen que un equipo de software rinda mejor.
tecnologia|Working Effectively with Legacy Code|Michael C. Feathers||Técnicas para modificar con seguridad código existente sin pruebas y mejorar su diseño poco a poco.
biografias|Mi vida|Charles Chaplin|My Autobiography|Las memorias de Charlie Chaplin: de una infancia pobre en Londres al cine mudo, la fama y el exilio.
